Order_ID,Order_Date,Customer_name,Region,Sales_person,Product_category,Product_Name,Quantity,Unit_price,Discount,Revenue,Payment_method,Delivery_status
1001,16-06-2024,Meena Patel,South,Amit,Home Decor,Table Lamp,3,7093,0.1,21279,Upi,Delivered
1002,18-04-2024,Meena Patel,West,Suresh,Home Decor,Table Lamp,1,1662,0.0,1662,Cash,Pending
1003,02-06-2024,John Smith,East,Amit,Furniture,Office Chair,6,7546,0.1,45276,Upi,Delivered
1004,18-05-2024,Meena Patel,West,Neha,Home Decor,Table Lamp,3,24984,0.1,74952,Cash,Delivered
1005,27-02-2024,Ravi Kumar,East,Rahul,Electronics,Router,2,7101,0.1,14202,Cash,Delivered
1006,28-02-2024,Ravi Kumar,East,Anita,Electronics,Smart Watch,5,25481,0.1,127405,Card,Delivered
1007,28-05-2024,Meena Patel,West,Anita,Electronics,Router,6,20018,0.0,120108,Card,Delivered
1008,05-04-2024,Ravi Kumar,South,Anita,Electronics,Smart Watch,2,5952,0.0,11904,Upi,Delivered
1009,01-07-2024,Meena Patel,East,Suresh,Electronics,Keyboard,6,44444,0.1,266664,Card,Delivered
1010,17-03-2024,John Smith,North,Anita,Home Decor,Table Lamp,5,2928,0.0,14640,Upi,Delivered
1011,22-03-2024,Akash Verma,East,Anita,Electronics,Headphones,4,19022,0.0,76088,Cash,Delivered
1012,01-03-2024,Unknown,South,Anita,Electronics,Laptop,6,14022,0.0,84132,Upi,Pending
1013,17-03-2024,Meena Patel,North,Anita,Electronics,Mouse,6,14528,0.1,87168,Card,Delivered
1014,30-01-2024,Pooja Singh,South,Anita,Appliances,Mixer Grinder,3,41457,0.0,124371,Cash,Delivered
1015,26-04-2024,Unknown,East,Rahul,Furniture,Office Chair,6,50930,0.1,305580,Cash,Pending
1016,31-03-2024,Unknown,South,Anita,Electronics,Laptop,6,1864,0.1,11184,Net Banking,Pending
1017,14-02-2024,Pooja Singh,West,Rahul,Electronics,Headphones,5,53375,0.0,266875,Card,Pending
1018,02-05-2024,Meena Patel,East,Rahul,Electronics,Headphones,4,43021,0.1,172084,Card,Pending
1019,05-06-2024,Sunil,North,Rahul,Electronics,Power Bank,1,19585,0.1,19585,Cash,Delivered
1020,13-03-2024,Ravi Kumar,East,Rahul,Furniture,Office Chair,5,19439,0.1,97195,Upi,Pending
1021,30-01-2024,Meena Patel,north,Anita,Electronics,Power Bank,3,15896,0.1,47688,Cash,Pending
1022,06-06-2024,Ravi Kumar,West,Anita,Home Decor,Table Lamp,2,15330,0.0,30660,Card,Pending
1023,21-05-2024,Ravi Kumar,West,Rahul,Appliances,Mixer Grinder,6,16244,0.1,97464,Card,Delivered
1024,02-04-2024,Pooja Singh,West,Anita,Electronics,Keyboard,4,13354,0.1,53416,Card,Delivered
1025,18-06-2024,Unknown,north,Rahul,Electronics,Mouse,5,37409,0.1,187045,Upi,Delivered
1026,27-01-2024,Sunil,East,Anita,Electronics,Mouse,3,5884,0.1,17652,Cash,Delivered
1027,03-09-2024,Sunil,North,Amit,Electronics,Laptop,6,7719,0.0,46314,Upi,Pending
1028,06-11-2024,Meena Patel,North,Rahul,Electronics,Mouse,4,1046,0.1,4184,Upi,Pending
1029,06-06-2024,Meena Patel,East,Anita,Electronics,Keyboard,3,50751,0.1,152253,Cash,Pending
1030,21-01-2024,Akash Verma,East,Rahul,Electronics,Headphones,1,6025,0.1,6025,Cash,Pending
1031,02-04-2024,John Smith,West,Rahul,Furniture,Office Chair,1,13509,0.0,13509,Upi,Pending
1032,16-05-2024,Unknown,East,Neha,Electronics,Mobile Phone,1,35503,0.1,35503,Card,Pending
1033,15-02-2024,Pooja Singh,North,Suresh,Electronics,Power Bank,6,49887,0.0,299322,Upi,Pending
1034,23-03-2024,Unknown,North,Anita,Electronics,Mouse,4,27628,0.1,110512,Card,Pending
1035,19-02-2024,Sunil,East,Anita,Electronics,Keyboard,5,43522,0.1,217610,Upi,Pending
1036,03-01-2024,Ravi Kumar,North,Anita,Furniture,Sofa Set,2,15281,0.1,30562,Upi,Pending
1037,17-06-2024,Akash Verma,South,Neha,Electronics,Router,2,53902,0.1,107804,Net Banking,Pending
1038,22-03-2024,Meena Patel,West,Amit,Appliances,Mixer Grinder,3,30742,0.1,92226,Card,Pending
1039,05-04-2024,Sunil,West,Anita,Electronics,Keyboard,6,46642,0.1,279852,Cash,Pending
1040,25-05-2024,Unknown,South,Suresh,Appliances,Mixer Grinder,2,54959,0.1,109918,Upi,Delivered
1041,30-03-2024,Sunil,South,Anita,Furniture,Sofa Set,4,16864,0.1,67456,Card,Pending
1042,04-01-2024,Unknown,East,Anita,Furniture,Office Chair,4,7420,0.1,29680,Card,Delivered
1043,07-01-2024,Pooja Singh,West,Anita,Appliances,Mixer Grinder,1,15382,0.1,15382,Card,Pending
1044,21-01-2024,Akash Verma,East,Neha,Electronics,Mobile Phone,1,31790,0.1,31790,Upi,Delivered
1045,20-06-2024,Akash Verma,North,Neha,Electronics,Keyboard,2,411,0.0,822,Upi,Delivered
1046,05-01-2024,John Smith,north,Suresh,Electronics,Mobile Phone,4,33685,0.1,134740,Upi,Pending
1047,29-05-2024,Pooja Singh,South,Rahul,Furniture,Office Chair,4,4722,0.1,18888,Upi,Pending
1048,01-04-2024,Akash Verma,West,Rahul,Electronics,Smart Watch,3,29160,0.1,87480,Upi,Pending
1049,19-01-2024,Meena Patel,West,Suresh,Electronics,Mouse,1,33247,0.1,33247,Card,Pending
1050,21-01-2024,John Smith,East,Neha,Electronics,Keyboard,5,33636,0.1,168180,Cash,Delivered
1051,29-06-2024,Sunil,South,Suresh,Appliances,Mixer Grinder,4,28401,0.1,113604,Net Banking,Pending
1052,19-01-2024,Ravi Kumar,north,Anita,Home Decor,Table Lamp,5,19928,0.1,99640,Upi,Delivered
1053,05-11-2024,Ravi Kumar,South,Amit,Electronics,Smart Watch,5,4026,0.1,20130,Net Banking,Delivered
